ProjectID,Project Name,Address,Street Number,Street Name,Neighborhood,Project Stage,Year Complete,Developer Name,Zoning,Planning Board Special Permit,Building Permit,Total GFA,Lot Area,FAR,Primary Use,Residential Units,Hotel Rooms,Note
347,Lincoln Way Apartments,181 Walden Street,181,Walden Street,Neighborhood 9,Complete,2013,Cambridge Housing Authority,C-1/C-2,PB244,810165-047040,106600,134838,0.81,Residential,70,,"Project added a net of 10 affordable units,"
249,Harvard Housing,Grant & Cowperthwaite Streets / Harvard Housing,,Grant & Cowperthwaite Streets / Harvard Housing,Riverside,Complete,2007,Harvard Real Estate Services,,PB199,,126765,165731,3.07,Residential,0,,
374,Binney St. Alexandria Master Plan,225 Binney Street,225,Binney Street,East Cambridge,Complete,2013,Alexandria Real Estate,,PB243,1111093-012212,301048,79999,3.79,Office/R&D,0,,
2,Theater,0 Arrow Street,0,Arrow Street,Riverside,Complete,2004,Carr Foundation,O-3,PB180,,48224,18652,2.58,Theater,0,,
274,Broad Institute Expansion/ Cambridge Center,75 Ames Street,75,Ames Street,MIT / Area 2,Complete,2014,Boston Properties,MXD,PB257,1111176-001974,250000,66599,3.76,Office/R&D,0,,Parking to be accomodated in existing Cambridge Center garages.
363,Former Police Station,5 Western Avenue,5,Western Avenue,Riverside,Complete,2013,Cambridge Housing Authority,BA/CSOD,PB260,312113-044789,59676,12980,4.33,Government,0,,
353,,126 Charles Street,126,Charles Street,East Cambridge,Complete,2011,1st Charles LLC/Glanz Properties,C-1,PB249,1110150-015766,7593,5000,0.66,Residential,8,,
369,Binney St. Alexandria Master Plan,75/125 Binney Street,75/125,Binney Street,East Cambridge,Complete,2015,Alexandria Real Estate,IA-1/PUD-3A,PB243,1112169-012177,338258,104185,3.37,Office/R&D,0,,Garage totals 397 spaces with 76 allocated to 270 Third Street and 17 allocated to 161 First Street.
278,,280-290 River Street,280-290,River Street,Cambridgeport,Complete,2009,Orwig Associates,C-1/BA-3,PB233,,22418,25127,0.95,Residential,17,,
350,,277 Broadway,277,Broadway,The Port/Area IV,Complete,2010,277 Broadway LLC,BA,N/A,1209080,12831,8626,0.00,Residential,9,,
331,MITIMCO Phase 1/South Building - Pfizer,610 Main Street,610,Main Street,The Port/Area IV,Complete,2014,MIT,IB,PB238,112013-026869,180053,210215,2.75,Office/R&D,0,,FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces shared with 700 Main St. 270 spaces allocated to Phase II.
351,,1063-1077 Massachusetts Avenue,1063-1077,Massachusetts Avenue,Mid-Cambridge,Complete,2012,Brighton Allston Properties,BB/HSOD,PB248,1210047-032973,31952,8954,3.57,Residential,20,,
387,,"22, 27 Cottage Park Avenue","22, 27",Cottage Park Avenue,North Cambridge,Complete,2013,Cottage Park Realty Trust,B/SD-2,PB267,512262-014569,35590,13959,2.55,Residential,16,,
615,Vox on 2,223 Concord Turnpike,223,Concord Turnpike,North Cambridge,Complete,2014,"CPC-T, LP",SD-4A,PB254,1111207-016780,253620,173909,1.46,Residential,227,,
629,Phase 1,35 Cottage Park Avenue,35,Cottage Park Avenue,North Cambridge,Complete,2015,Tyler Court Limited Partnership,SD-2,PB276,BLDM-020171-2014,70387,130079,0.64,Residential,57,,
325,,7 Temple Street,7,Temple Street,Mid-Cambridge,Complete,2015,Cambridge Affordable Hsg. Corp,BB/O-3/CSOD,N/A,BLDM-008282-2013,96161,36990,2.59,Residential,40,,Formerly 5 Temple Street. Parking spaces serve a total of 66 units on-site; 42 new units and 24 existing units.
52,JAS Scouting Way,146-152 Prospect Street,146-152,Prospect Street,The Port/Area IV,Complete,2005,Just-A-Start,O-1/BA-1,,,16204,15175,0.92,Residential,13,,
308,Prospect Court Phase 1/2,182-190 Prospect Street,182-190,Prospect Street,The Port/Area IV,Complete,2008,Prospect Street Housing Trust,C-1,,507102,9274,31498,0.93,Residential,11,,
376,Skanska,150 Second Street,150,Second Street,East Cambridge,Complete,2013,Skanska USA,IA-1/BA/PUD-4B,PB231A,911010-047417,108600,109972,2.24,Office/R&D,0,,
305,,239-241 Prospect Street,239-241,Prospect Street,Mid-Cambridge,Complete,2008,"239 Prospect St., LLC",C-1,N/A,12060340,9600,12792,0.74,Residential,8,,
614,Fawcett Street Housing,80-90 Fawcett Street,80-90,Fawcett Street,Cambridge Highlands,Complete,2014,CCF/O'Connor,O-1/AOD-4,PB255,212195-017996,466361,197173,2.37,Residential,429,,"Project was in two phase with Phase 1 complete in 2013 with 90 units, 10 affordable and all parking."
386,,100 Pacific Street,100,Pacific Street,Cambridgeport,Complete,2013,100 Pacific Street Trust,SD-8,N/A,1111148-038572,19545,10008,1.95,Residential,11,,
18,Telecom,300 Bent Street,300,Bent Street,East Cambridge,Complete,2003,Lohnes & Laverty,IB-1,PB162,,91980,67020,2.56,Telecommunications,0,,
406,,18 White Street,18,White Street,North Cambridge,Complete,2014,Ben Rogan,BC,N/A,BLDM-007372-2013,9979,5080,1.96,Residential,8,,
260,Discovery Park Master Plan Smithsonian Bldg.,100 Discovery Park,100,Discovery Park,North Cambridge,Complete,2005,Bulfinch Company,SD-4,N/A,,158007,1154420,0.61,Office/R&D,0,,FAR is for entire Discovery Park development. Parking allocated from Discovery Park inventory.
33,Charles E. Smith Housing,1 Leighton Street,1,Leighton Street,East Cambridge,Complete,2008,C.E. Smith/Archstone Dev,NP/PUD-6,PB175,206055,426000,247431,3.77,Residential,426,,"FAR includes original plans for Phase II building, since reduced in size."
15,Hotel Marlowe,25 Land Boulevard,25,Land Boulevard,East Cambridge,Complete,2003,New England Development,BA/PUD-4,PB66,,154000,27000,2.18,Hotel,0,236,
41,Draper Labs,1 Hampshire Street,1,Hampshire Street,Wellington Harrington,Complete,2006,Leggett McCall/Draper,IB,PB182,,156700,101190,3.20,Office/R&D,0,,
48,Neville Manor,650 Concord Avenue,650,Concord Avenue,Cambridge Highlands,Complete,2004,Neville Communities,,,,49730,85214,0.56,Nursing Home,71,,
327,,160-180 Cambridgepark Drive,160-180,Cambridgepark Drive,North Cambridge,Complete,2014,BRE/CPD,O-2A/AOD-6,PB270,BLDM-000826-2013,445000,183604,2.40,Residential,398,,Garage also includes 150 spaces shared with adjacent office buildings.
27,R&D,320 Charles Street,320,Charles Street,East Cambridge,Complete,2005,Whitehead Institute,IA-1,,,9600,107025,0.74,Office/R&D,0,,
282,Switchhouse Housing,25-45 Blackstone Street,25-45,Blackstone Street,Riverside,Complete,2007,Harvard University,C-1,PB207,,41783,44080,0.95,Residential,33,,
375,Biogen/300 Binney Street,17 Cambridge Center,17,Cambridge Center,MIT / Area 2,Complete,2013,Boston Properties,MXD,N/A,112008-012228,188000,49544,3.79,Office/R&D,0,,Parking provided in existing Cambridge Center North Garage.
26,"TKT, Inc.",28 Osborn Street,28,Osborn Street,The Port/Area IV,Complete,2002,MIT Real Estate,IB,,,182031,210215,0.87,Office/R&D,0,,
273,,250 Massachusetts Avenue,250,Massachusetts Avenue,MIT / Area 2,Complete,2006,Novartis Services,SD-7/CSOD,PB173,,65319,8709,3.54,Office/R&D,0,,
357,,61-69 Bolton Street,61-69,Bolton Street,Neighborhood 9,Complete,2013,DG/R.E. Development,C-1A,PB251,611008,26436,9783,1.35,Residential,20,,
342,St. John's Phase 1A,45-47 Yerxa Road,45-47,Yerxa Road,North Cambridge,Complete,2012,120 Realty Trust,B,PB203,105157-047114,15372,100068,0.76,Residential,19,,"FAR based on Phases 1A, 1B, and 2. Project incldues 97 parking spaces for 63 units across all project phases."
311,Immaculate Conception,424-430 Windsor Street,424-430,Windsor Street,Wellington Harrington,Complete,2012,Just A Start,C-1,PB229,0811191,20856,15704,1.32,Residential,14,,
317,,355 Fresh Pond Parkway,355,Fresh Pond Parkway,West Cambridge,Complete,2014,Roberta Sidney,BA/Res B/Parkway Overlay,PB234,BLDC-001755-2013,11450,41854,0.41,Retail,0,,FAR based on approved plan including a second floor yet to be built.
21,Broad Institute,7 Cambridge Center,7,Cambridge Center,MIT / Area 2,Complete,2006,Boston Properties,MXD,,,194096,44854,4.48,Office/R&D,0,,
251,St. John's Resident Phase 1B,120 Rindge Avenue,120,Rindge Avenue,North Cambridge,Complete,2013,120 Realty Trust,B,PB203,1212049-039660,35154,100068,0.76,Residential,28,,"FAR based on Phases 1A, 1B, and 2. Project incldues 97 parking spaces for 63 units across all project phases. Parking in Phase 1A."
367,Novartis,181 Massachusetts Avenue,181,Massachusetts Avenue,The Port/Area IV,Complete,2015,Novartis,SD-15,PB265,612325-027729,572663,163618,3.50,Office/R&D,0,,
354,Jackson Gardens Renovation,259 Harvard Street,259,Harvard Street,Mid-Cambridge,Complete,2011,Cambridge Housing Authority,C-1,N/A,810276-022718,55668,43565,1.28,Residential,45,,
399,,240 Sidney Street,240,Sidney Street,Cambridgeport,Complete,2016,Dinosaur Capital,SD-8A,PB278,BLDM-018346-2014,96431,54130,1.78,Residential,96,,
400,Phase 2,35 Cottage Park Avenue,35,Cottage Park Avenue,North Cambridge,Complete,2016,Tyler Court Limited Partnership,SD-2,PB276,BLDM-020171-2014,12200,130079,0.64,Residential,10,,Affordable units included in Phase 1. FAR for entire development. This phase consists of five two-family structures.
409,,15-33 Richdale Avenue,15-33,Richdale Avenue,Neighborhood 9,Complete,2016,Hathaway Lofts LLC,C-1A,PB284,BLDM-022489-2014,65384,42043,1.58,Residential,46,,
383,600 Discovery Park/Discovery Park Master Plan,10 Acorn Park,10,Acorn Park,North Cambridge,Complete,2016,Bulfinch Company,SD-4,PB198,BLDC-025041-2015,82340,1154420,0.61,Hotel,0,150,FAR for entire Discovery Park development. Parking includes 8 surface spaces dedicated to hotel use. Additional parking to be allocated from Discovery Park inventory.
618,,192 Raymond Street,192,Raymond Street,Neighborhood 9,Complete,2016,Raymond Street Realty Trust,C-2,N/A,BLDM-022666-2015,8200,6278,1.30,Residential,8,,
390,Phase 2,165 Cambridgepark Drive,165,Cambridgepark Drive,North Cambridge,Complete,2016,Hines Interests Limited,O-2A/AOD-6,PB275,BLDM-009426-2013,112000,119274,2.35,Residential,98,,FAR for all project phases.
385,Concord Wheeler Phase I,605 Concord Avenue,605,Concord Avenue,Cambridge Highlands,Complete,2015,AbodeZ Acorn LLC,BA/AOD-5,PB269,BLDC-005490-2013,64189,29034,2.21,Residential,61,,61 residential and 16 retail spaces
329,Kaya Hotel,1924 Massachusetts Avenue,1924,Massachusetts Avenue,North Cambridge,Complete,2016,Kaya-Ka,BC/B/NMAOD,PB237,BLDC-010552-2013,24162,14880,1.60,Hotel,0,65,"Includes restaurant, component GFA unknown. Parking for hotel and restaurant."
19,,40 Landsdowne Street,40,Landsdowne Street,Cambridgeport,Complete,2002,Forest City Development,CRDD,PB163,,228184,0,0.00,Office/R&D,0,,
420,,Pemberton Street Condos,,Pemberton Street Condos,North Cambridge,Complete,1998,Kline / Levy: Jeff Kline,,N/A,,0,0,0.50,Residential,20,,
504,,30 Pilgrim Street,30,Pilgrim Street,Cambridgeport,Complete,1999,Forest City Development,,N/A,,191688,,0.00,Parking Garage,0,,
444,,26 Robinson Street,26,Robinson Street,Neighborhood 9,Complete,1999,Harvard Planning and Real Estate,C-1,N/A,,6500,45351,0.86,Office/R&D,0,,
473,,180 Sidney Street,180,Sidney Street,Cambridgeport,Complete,2001,Lyme Properties,SD-8,N/A,,191104,186289,1.25,Office/R&D,0,,
452,,59 Norfolk Street,59,Norfolk Street,The Port/Area IV,Complete,2000,Just A Start Corp.,B,N/A,,0,0,0.00,Residential,8,,
326,Conductor's Building,114 Mount Auburn Street,114,Mount Auburn Street,West Cambridge,Complete,2015,Carpenter Company,BB/HSOD,PB235,BLDC-012909-2014,83200,20800,4.00,Office/R&D,0,,Includes retail component with size TBD. Parking reduced to zero because of commercial parking available in Charles Hotel garage.
11,,100 Landsdowne Street,100,Landsdowne Street,Cambridgeport,Complete,2005,Forest City Development,CRDD,PB152,,236000,0,0.00,Residential,203,,
470,Fitzgerald School,70 Rindge Avenue,70,Rindge Avenue,North Cambridge,Complete,2001,City of Cambridge School Dept,B,N/A,,124893,306431,0.41,Government,0,,
490,,2443 Massachusetts Avenue,2443,Massachusetts Avenue,North Cambridge,Complete,2002,Cambridge Garden Realty Trust,BA-2,N/A,,20243,9937,1.75,Residential,13,,
425,51-53 Bristol Street,67-83 Webster Street,67-83,Webster Street,Wellington Harrington,Complete,1998,Just a Start Corporation,C-1,N/A,,12743,13137,0.97,Residential,14,,
248,Richdale Place Cohousing,113 Richdale Avenue,113,Richdale Avenue,Neighborhood 9,Complete,2007,Oaktree Development,C-1A,PB201,,29775,18460,1.61,Residential,20,,
450,Auburn Court Phase II,Brookline Street,,Brookline Street,Cambridgeport,Complete,2000,Homeowners Rehab,CRDD,N/A,,0,0,0.00,Residential,60,,
426,,270 Albany Street,270,Albany Street,Cambridgeport,Complete,1999,Lyme Properties,SD-8,N/A,,69000,32350,0.00,Office/R&D,0,,
445,University Park Phase III,45 & 75 Sidney Street,45 & 75,Sidney Street,Cambridgeport,Complete,1999,Forest City Development,CRDD,N/A,,270000,,,Office/R&D,0,,
466,,65 Landsdowne Street,65,Landsdowne Street,Cambridgeport,Complete,2001,Forest City Development,CRDD,PB152,,129454,0,0.00,Office/R&D,0,,
604,,215 Msgr. O'Brien Highway,215,Msgr. O'Brien Highway,East Cambridge,Complete,2015,Pro Con Inc,SD-1,N/A,BLDC-008152-2013,50368,12478,4.04,Hotel,0,123,
438,,619 Memorial Drive,619,Memorial Drive,Cambridgeport,Complete,1999,Commonwealth of Massassachusetts,Residential A-2,N/A,,19960,38625,0.44,,0,,
423,,402 Rindge Avenue,402,Rindge Avenue,North Cambridge,Complete,1998,Just a Start Corporation,C-2,N/A,,0,0,0.00,Residential,274,,
658,,1 Bow Street,1,Bow Street,Riverside,Complete,2003,,,PB167,,35000,10990,0.00,Office/R&D,0,,Includes 1230 Massachusetts Avenue.
51,,303 Third Street,303,Third Street,East Cambridge,Complete,2009,Extell Cambridge LLC,PUD-KS/C-2B,PB189,,579779,148693,3.90,Residential,482,,
421,Porter Square Shopping Center,1-37 White Street,1-37,White Street,North Cambridge,Complete,1998,Gravestar,BC/NMAOD,N/A,,462844,0,2.00,Retail,0,,
6,,300 Technology Square,300,Technology Square,The Port/Area IV,Complete,2002,Tech Square LLC,IB,PB144,,118621,689534,2.53,Office/R&D,0,,
380,Discovery Park Master Plan,Discovery Park Garage A,,Discovery Park Garage A,North Cambridge,Complete,2011,Bulfinch Company,SD-4,PB198,,238314,1154420,,Parking Garage,0,,Garage not counted toward Discovery Park FAR. Includes severn surface parking spaces.
250,Mahoney's/Harvard Affiliate Housing,870-888 Memorial Drive,870-888,Memorial Drive,Riverside,Complete,2008,Harvard Real Estate Services,,PB200,,140652,98828,3.10,Residential,18,,
484,,803-815 Cambridge Street,803-815,Cambridge Street,Wellington Harrington,Complete,2002,,,N/A,,0,0,0.00,,14,,
237,,100 Technology Square,100,Technology Square,The Port/Area IV,Complete,2003,Tech Square LLC,IB,PB144,,347500,0,0.00,Office/R&D,0,,
489,Firehouse Hotel,350 Main Street,350,Main Street,MIT / Area 2,Complete,2002,The Firehouse in LLC,IB,N/A,,37600,0,4.00,Hotel,0,65,
480,,8 Bigelow Street,8,Bigelow Street,Mid-Cambridge,Complete,2002,CASCAP,,N/A,,0,0,0.00,Residential,10,,
362,Harvey Street Lumber Yard,119-135 Harvey Street,119-135,Harvey Street,North Cambridge,Complete,2013,Young Investments LLC,SD-2,PB258,1012188-027999,26517,53035,0.84,Residential,20,,
410,University Park Millenium Bldg.,300 Massachusetts Avenue,300,Massachusetts Avenue,Cambridgeport,Complete,2016,Forest City Development,CRDD,PB283,BLDC-010858-2014,218501,50634,4.30,Office/R&D,0,,Parking will be provided at existing University Park garage located at 55 Franklin Street.
577,,139 Main Street,139,Main Street,East Cambridge,Complete,1999,H.J. Davis,,N/A,,35000,0,0.00,Office/R&D,0,,
464,,173-181 Harvey Street,173-181,Harvey Street,North Cambridge,Complete,2001,Conerstone Builders Group,IA-1,PB126,,54687,56110,0.92,Residential,32,,
427,,203-205 Broadway,203-205,Broadway,The Port/Area IV,Complete,1999,Bullfinch Company,IB,N/A,,180000,86729,2.30,Office/R&D,0,,
415,,620 Memorial Drive,620,Memorial Drive,Cambridgeport,Complete,1997,Charles River Building,SD-5/O-2,N/A,,91500,0,0.00,Office/R&D,0,,
315,Hotel Tria Expansion,220 Alewife Brook Parkway,220,Alewife Brook Parkway,Cambridge Highlands,Complete,2009,KW Cambridge Properties LLC,BA/AOD-5,PB230,,57759,68907,0.84,Hotel,0,52,
418,,1-15 Davenport Street,1-15,Davenport Street,North Cambridge,Complete,1998,Bob Bray,B/NMAOD,N/A,,23800,18381,2.00,Residential,17,,
414,,600 Memorial Drive,600,Memorial Drive,Cambridgeport,Complete,1997,Modern Continental,SD-11,N/A,,72000,0,0.00,Office/R&D,0,,
419,,2105-2109 Massachusetts Avenue,2105-2109,Massachusetts Avenue,North Cambridge,Complete,1998,Ricardo Dumont,,N/A,,0,0,0.00,Residential,6,,
523,Richdale Terraces Phase 2,Richdale Avenue,,Richdale Avenue,Neighborhood 9,Complete,1998,Joseph Nogueira,,N/A,,0,0,0.00,Residential,56,,
654,Basement Housing,1-3 Langdon Street,1-3,Langdon Street,Agassiz,Complete,2016,Chestnut Hill Realty,C-2/B,PB290,BLDM-029678-2015,26892,16380,2.80,Residential,5,,Conversion of existing basement space to residential. Parking requirements waived.  FAR and GAF based on existing structure.
441,Maxwell - Dworkin Building,17-33 Oxford Street,17-33,Oxford Street,Agassiz,Complete,1999,Harvard Univ.,C-3,N/A,,91500,1332963,1.36,Office/R&D,0,,
